loss: 1.1165:   0%|          | 0/30000 [00:03<?, ?it/s]
loss: 0.0352:  12%|█▏        | 3500/30000 [2:53:27<3:21:56,  2.19it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0352:  12%|█▏        | 3500/30000 [2:53:27<3:21:56,  2.19it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0438:  12%|█▏        | 3600/30000 [2:54:30<5:12:37,  1.41it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0423:  12%|█▏        | 3600/30000 [2:54:30<5:12:37,  1.41it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0423:  12%|█▏        | 3600/30000 [2:54:30<5:12:37,  1.41it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0348:  12%|█▏        | 3700/30000 [2:55:33<4:37:23,  1.58it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0417:  12%|█▏        | 3700/30000 [2:55:34<4:37:23,  1.58it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0417:  12%|█▏        | 3700/30000 [2:55:34<4:37:23,  1.58it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0383:  13%|█▎        | 3800/30000 [2:56:37<4:16:25,  1.70it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0149:  13%|█▎        | 3800/30000 [2:56:37<4:16:25,  1.70it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0149:  13%|█▎        | 3800/30000 [2:56:37<4:16:25,  1.70it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0363:  13%|█▎        | 3900/30000 [2:57:40<5:43:58,  1.26it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0442:  13%|█▎        | 3900/30000 [2:57:40<5:43:58,  1.26it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0442:  13%|█▎        | 3900/30000 [2:57:40<5:43:58,  1.26it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0370:  13%|█▎        | 4000/30000 [5:14:29<17655:20:17, 2444.59s/it, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
